sample_id	Population	Population Description	Gender	cram_path	crai_path	high_confidence_vcf_path	high_confidence_bed_path	autosomal_high_confidence_bp
HG02257	ACB	African Caribbean in Barbados	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02257/analysis/HG02257.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02257/analysis/HG02257.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02257/HG02257.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG02257/HG02257.dip.bed.gz	2645080780
HG00438	CHS	Southern Han Chinese, China	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00438/analysis/HG00438.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00438/analysis/HG00438.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00438/HG00438.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG00438/HG00438.dip.bed.gz	2644622479
HG00735	PUR	Puerto Rican in Puerto Rico	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00735/analysis/HG00735.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00735/analysis/HG00735.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00735/HG00735.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG00735/HG00735.dip.bed.gz	2643949228
HG02622	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02622/analysis/HG02622.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02622/analysis/HG02622.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02622/HG02622.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG02622/HG02622.dip.bed.gz	2642898633
HG01175	PUR	Puerto Rican in Puerto Rico	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01175/analysis/HG01175.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01175/analysis/HG01175.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01175/HG01175.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG01175/HG01175.dip.bed.gz	2642748965
HG01891	ACB	African Caribbean in Barbados	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01891/analysis/HG01891.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01891/analysis/HG01891.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01891/HG01891.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG01891/HG01891.dip.bed.gz	2642499289
HG02630	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02630/analysis/HG02630.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02630/analysis/HG02630.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02630/HG02630.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG02630/HG02630.dip.bed.gz	2641689818
HG02723	GWD	Gambian in Western Division, The Gambia	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02723/analysis/HG02723.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02723/analysis/HG02723.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02723/HG02723.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG02723/HG02723.dip.bed.gz	2641439851
HG03486	MSL	Mende in Sierra Leone	female	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03486/analysis/HG03486.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03486/analysis/HG03486.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03486/HG03486.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HG03486/HG03486.dip.bed.gz	2641162932
HG02074	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02074/analysis/HG02074.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02074/analysis/HG02074.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02074/HG02074.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02074/HG02074.dip.bed.gz	2655928008
HG02015	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02015/analysis/HG02015.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02015/analysis/HG02015.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02015/HG02015.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02015/HG02015.dip.bed.gz	2655070509
HG03654	PJL	Punjabi in Lahore,Pakistan	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03654/analysis/HG03654.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03654/analysis/HG03654.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03654/HG03654.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03654/HG03654.dip.bed.gz	2654724920
HG00738	PUR	Puerto Rican in Puerto Rico	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00738/analysis/HG00738.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00738/analysis/HG00738.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00738/HG00738.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00738/HG00738.dip.bed.gz	2653883663
HG03942	BEB	Bengali in Bangladesh	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03942/analysis/HG03942.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03942/analysis/HG03942.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03942/HG03942.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03942/HG03942.dip.bed.gz	2653392140
HG02135	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02135/analysis/HG02135.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02135/analysis/HG02135.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02135/HG02135.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02135/HG02135.dip.bed.gz	2653265212
HG00658	CHS	Southern Han Chinese, China	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00658/analysis/HG00658.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00658/analysis/HG00658.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00658/HG00658.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00658/HG00658.dip.bed.gz	2653173280
HG01192	PUR	Puerto Rican in Puerto Rico	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01192/analysis/HG01192.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01192/analysis/HG01192.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01192/HG01192.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01192/HG01192.dip.bed.gz	2653069464
HG02129	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02129/analysis/HG02129.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02129/analysis/HG02129.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02129/HG02129.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02129/HG02129.dip.bed.gz	2652827335
HG02071	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02071/analysis/HG02071.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02071/analysis/HG02071.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02071/HG02071.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02071/HG02071.dip.bed.gz	2652460767
HG01433	CLM	Colombian in Medellin, Colombia	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01433/analysis/HG01433.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01433/analysis/HG01433.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01433/HG01433.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01433/HG01433.dip.bed.gz	2652415718
HG03710	PJL	Punjabi in Lahore,Pakistan	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03710/analysis/HG03710.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03710/analysis/HG03710.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03710/HG03710.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03710/HG03710.dip.bed.gz	2651915150
HG03017	PJL	Punjabi in Lahore,Pakistan	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03017/analysis/HG03017.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03017/analysis/HG03017.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03017/HG03017.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03017/HG03017.dip.bed.gz	2651834131
HG02083	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02083/analysis/HG02083.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02083/analysis/HG02083.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02083/HG02083.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02083/HG02083.dip.bed.gz	2651746710
HG02056	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02056/analysis/HG02056.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02056/analysis/HG02056.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02056/HG02056.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02056/HG02056.dip.bed.gz	2651473103
HG02132	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02132/analysis/HG02132.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02132/analysis/HG02132.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02132/HG02132.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02132/HG02132.dip.bed.gz	2651439944
HG04157	BEB	Bengali in Bangladesh	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04157/analysis/HG04157.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04157/analysis/HG04157.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG04157/HG04157.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG04157/HG04157.dip.bed.gz	2651202500
HG04228	STU	Sri Lankan Tamil in the UK	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04228/analysis/HG04228.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04228/analysis/HG04228.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG04228/HG04228.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG04228/HG04228.dip.bed.gz	2651137110
HG01252	CLM	Colombian in Medellin, Colombia	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01252/analysis/HG01252.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01252/analysis/HG01252.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01252/HG01252.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01252/HG01252.dip.bed.gz	2651054407
HG00706	CHS	Southern Han Chinese, China	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00706/analysis/HG00706.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00706/analysis/HG00706.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00706/HG00706.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00706/HG00706.dip.bed.gz	2651025105
HG04160	BEB	Bengali in Bangladesh	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04160/analysis/HG04160.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04160/analysis/HG04160.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG04160/HG04160.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG04160/HG04160.dip.bed.gz	2650544400
HG02514	KHV	Kinh in Ho Chi Minh City, Vietnam	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02514/analysis/HG02514.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02514/analysis/HG02514.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02514/HG02514.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02514/HG02514.dip.bed.gz	2650539555
HG01261	CLM	Colombian in Medellin, Colombia	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01261/analysis/HG01261.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01261/analysis/HG01261.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01261/HG01261.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01261/HG01261.dip.bed.gz	2650323074
HG03688	STU	Sri Lankan Tamil in the UK	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03688/analysis/HG03688.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03688/analysis/HG03688.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG03688/HG03688.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG03688/HG03688.dip.bed.gz	2650271697
HG02698	PJL	Punjabi in Lahore,Pakistan	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02698/analysis/HG02698.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02698/analysis/HG02698.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02698/HG02698.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02698/HG02698.dip.bed.gz	2650154029
HG04187	BEB	Bengali in Bangladesh	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04187/analysis/HG04187.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04187/analysis/HG04187.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG04187/HG04187.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG04187/HG04187.dip.bed.gz	2649899275
HG02735	PJL	Punjabi in Lahore,Pakistan	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02735/analysis/HG02735.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02735/analysis/HG02735.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02735/HG02735.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02735/HG02735.dip.bed.gz	2649802287
HG02647	GWD	Gambian in Western Division, The Gambia	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02647/analysis/HG02647.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02647/analysis/HG02647.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG02647/HG02647.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG02647/HG02647.dip.bed.gz	2649792789
HG04204	STU	Sri Lankan Tamil in the UK	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04204/analysis/HG04204.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG04204/analysis/HG04204.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG04204/HG04204.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG04204/HG04204.dip.bed.gz	2649773581
HG01934	PEL	Peruvian in Lima, Peru	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01934/analysis/HG01934.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01934/analysis/HG01934.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01934/HG01934.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01934/HG01934.dip.bed.gz	2649689459
HG00609	CHS	Southern Han Chinese, China	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00609/analysis/HG00609.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00609/analysis/HG00609.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG00609/HG00609.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG00609/HG00609.dip.bed.gz	2649681636
HG01074	PUR	Puerto Rican in Puerto Rico	male	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01074/analysis/HG01074.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01074/analysis/HG01074.final.cram.crai	gs://str-truth-set-v2/filter_vcf_v2__2025_12_29/HG01074/HG01074.high_confidence_regions.vcf.gz	gs://str-truth-set-v2/dipcall_pipeline/HPRC_release2/HG01074/HG01074.dip.bed.gz	2649561969
